Se7en,116203018390242
Who's Afraid of Virginia Woolf?,372691759418874
The Apartment,113515041992623
Full Metal Jacket,265575393524310
Inglourious Basterds,56727800941
2001: A Space Odyssey,400507983311138
Raiders of the Lost Ark,109070849111241
High Noon,104097929627904
For a Few Dollars More,107533295942721
A Fistful of Dollars,124339604308385
Beauty and the Beast,35044734096
Judgment at Nuremberg,106106236088310
A Clockwork Orange,118843458195668
The Usual Suspects,487680604610929
The Hustler,109130662440111
Memories of Murder,104054886298065
Gangs of Wasseypur,279518575468159
Amadeus,339738672739423
The Great Dictator,1538487543031012
The Help,108408625843957
Touch of Evil,276707979031765
Eternal Sunshine of the Spotless Mind,307909672574831
Forrest Gump,11471355815
Anatomy of a Murder,105976302767665
The Wages of Fear,108303585858443
Finding Nemo,15294801701
Warrior,195856603787706
Fight Club,39644305296
Chinatown,217967551560691
Inside Out,453888788023958
Infernal Affairs,225010384220289
3 Idiots,441170255909978
The Lord of the Rings: The Fellowship of the Ring,105615172805389
Million Dollar Baby,268052396589488
Into the Wild,103676633004570
Gandhi,359795302453
How to Train Your Dragon,96698020019
Harry Potter and the Deathly Hallows: Part 2,106325859403023
The Lives of Others,108322799187986
Das Boot,201742033204207
Monty Python and the Holy Grail,328740630512162
The Pianist,302717273113887
Akira,307262422778684
Prisoners,119322564917931
Incendies,123625007710171
The Departed,124703400953760
One Flew Over the Cuckoo's Nest,309680635765274
The General,108237469203736
Terminator 2: Judgment Day,152756901432744
La Haine,11027928125
On the Waterfront,108730475818818
To Kill a Mockingbird,263704590309984
Ikiru,105480359485314
The Terminator,181221288646788
The Treasure of the Sierra Madre,387504797926869
